Country,Cluster,Color,Confirmed,PC1,PC2
Russia,Phase 1,#fdae61,317554.0,-0.5862771729707381,0.7211478089329372
Brazil,Phase 1,#fdae61,310087.0,-0.5988945269517404,0.8709453177175391
India,Phase 1,#fdae61,118226.0,-0.714753339521279,0.7767457071265461
Peru,Phase 1,#fdae61,108769.0,-0.6355279675749061,0.7399210380466459
Saudi Arabia,Phase 1,#fdae61,65077.0,-0.7849173088743442,0.648153931545853
Mexico,Phase 1,#fdae61,59567.0,-0.8042452378755747,0.7172369328790961
Chile,Phase 1,#fdae61,57581.0,-0.5532988946282652,0.6908205371710044
Pakistan,Phase 1,#fdae61,48091.0,-0.5723890931570392,0.5892422151392245
Qatar,Phase 1,#fdae61,38651.0,-0.7003984753434411,0.6703362150436925
Belarus,Phase 1,#fdae61,33371.0,-0.5037442462583415,0.7338827552188427
Singapore,Phase 1,#fdae61,29812.0,-0.5768972091654145,0.3326291469214045
Bangladesh,Phase 1,#fdae61,28511.0,-0.3426533210080727,1.1066560756116424
United Arab Emirates,Phase 1,#fdae61,26898.0,-0.6936633791426863,0.2584063086176983
Ukraine,Phase 1,#fdae61,19706.0,-0.5857420694673436,0.17144067234378627
South Africa,Phase 1,#fdae61,19137.0,-0.6084017050177551,0.6545179024739007
Kuwait,Phase 1,#fdae61,18609.0,-0.3861896390981549,0.936179867998087
Colombia,Phase 1,#fdae61,18330.0,-0.7855091466979318,0.3551457361422168
Egypt,Phase 1,#fdae61,15003.0,-0.8465742968173863,0.40862067514552464
Argentina,Phase 1,#fdae61,9931.0,-0.5845564017106037,0.2683604042620254
Afghanistan,Phase 1,#fdae61,8676.0,-0.4082653947042313,0.9447260559247418
Bahrain,Phase 1,#fdae61,8174.0,-0.5430377830136813,0.3974275627507223
Kazakhstan,Phase 1,#fdae61,7234.0,-0.40956696635183015,0.4648014210474406
Nigeria,Phase 1,#fdae61,7016.0,-0.4148015077533121,0.9531588148129747
Oman,Phase 1,#fdae61,6370.0,-0.5842473493901118,0.6142875251072557
Armenia,Phase 1,#fdae61,5606.0,-0.6680663523692142,0.38629417542042577
Bolivia,Phase 1,#fdae61,5187.0,-0.15005289660878343,0.9944486928011351
Honduras,Phase 1,#fdae61,3375.5,-0.022536831449071797,0.8497788613415509
Guinea,Phase 1,#fdae61,3067.0,0.021271023396827543,0.736994672799919
Senegal,Phase 1,#fdae61,2812.0,-0.49925552472333173,0.6571656867330515
Guatemala,Phase 1,#fdae61,2512.0,0.2255846041785019,1.0670760295886448
Cote d'Ivoire,Phase 1,#fdae61,2301.0,-0.3627589513782578,0.20687930101694976
US,Phase 2,#d7191c,1577147.0,-0.386679266806232,-0.46243978362183125
United Kingdom,Phase 2,#d7191c,255293.0,-0.665400011812537,-0.5013159295442524
Turkey,Phase 2,#d7191c,153548.0,-0.4363834143077329,-0.4705020448933661
Iran,Phase 2,#d7191c,129341.0,0.010202595870944806,-0.6626842254360404
Canada,Phase 2,#d7191c,82742.0,-0.6793630338731514,-0.4105697494965263
Belgium,Phase 2,#d7191c,56235.0,-0.13169696410629136,-0.9821266410501195
Sweden,Phase 2,#d7191c,32172.0,-0.3893254818849773,-0.5344932599372624
Portugal,Phase 2,#d7191c,30272.0,-0.1805032953488434,-0.8711365684186055
Ireland,Phase 2,#d7191c,24391.0,-0.16415630152644736,-0.6127523986357628
Indonesia,Phase 2,#d7191c,20162.0,-0.9247546618526896,0.005704603891021903
Poland,Phase 2,#d7191c,20143.0,-0.6723890460272616,-0.46707912873112845
Romania,Phase 2,#d7191c,17585.0,-0.5330653581474738,-0.5524744322795168
Dominican Republic,Phase 2,#d7191c,13657.0,-0.7431834996600287,-0.031512791455325845
Philippines,Phase 2,#d7191c,13434.0,-0.7089940403089857,-0.37463048047356007
Denmark,Phase 2,#d7191c,11380.0,-0.13228394943005098,-0.9139007065138458
Serbia,Phase 2,#d7191c,10919.0,-0.2018780399927106,-0.5452116385209366
Panama,Phase 2,#d7191c,10116.0,-0.5302738010267986,-0.34304536125353996
Algeria,Phase 2,#d7191c,7728.0,-0.5602176394570351,-0.24278177458350017
Morocco,Phase 2,#d7191c,7211.0,-0.7216611877117907,-0.2644115673922341
Moldova,Phase 2,#d7191c,6704.0,-0.8015759926175987,-0.11323045696627934
Finland,Phase 2,#d7191c,6493.0,-0.3209067244979568,-0.7657192625580742
Iraq,Phase 2,#d7191c,3877.0,-0.5822101938716367,-0.2806646129007904
Azerbaijan,Phase 2,#d7191c,3749.0,-0.750499080819179,-0.03131180303053258
Hungary,Phase 2,#d7191c,3641.0,-0.3823113050170692,-0.5179442050364949
Uzbekistan,Phase 2,#d7191c,2964.0,-0.4341139149655018,-0.086931448747234
Bosnia and Herzegovina,Phase 2,#d7191c,2350.0,-0.3884727773872841,-0.6599406701701904
Bulgaria,Phase 2,#d7191c,2331.0,-0.559029379876324,-0.24996095105383317
Spain,Phase 3,#1a9641,246846.0,0.44645708735914413,-1.1671785037823361
Italy,Phase 3,#1a9641,228006.0,0.5090446944791351,-1.035514493498521
France,Phase 3,#1a9641,192092.0,1.0367104518699637,-0.3312478578672981
Germany,Phase 3,#1a9641,179021.0,0.37889847955889283,-1.1510537095988371
Netherlands,Phase 3,#1a9641,44894.0,0.1300478387651882,-1.0681332854705936
Switzerland,Phase 3,#1a9641,30694.0,1.029758612356265,-1.137887033646508
Japan,Phase 3,#1a9641,17276.5,0.4190544130604395,-0.4533625260626204
Israel,Phase 3,#1a9641,16683.0,0.6108935482122387,-0.9371482103047282
Austria,Phase 3,#1a9641,16404.0,1.2142288012947842,-0.8692200010202521
Czechia,Phase 3,#1a9641,8754.0,0.21798715484125006,-1.0373572601374212
Norway,Phase 3,#1a9641,8309.0,0.9214371899049346,-1.043436127937636
Australia,Phase 3,#1a9641,7095.0,1.4758954791710246,-0.9010899012054117
Malaysia,Phase 3,#1a9641,7059.0,0.26386479277545016,-0.9858464826422575
Luxembourg,Phase 3,#1a9641,3980.0,1.0509970404852957,-0.9630596115607705
Thailand,Phase 3,#1a9641,3037.0,1.35865200630021,-0.9698013728228903
Greece,Phase 3,#1a9641,2853.0,0.7926689448419559,-0.915693843982225
Croatia,Phase 3,#1a9641,2237.0,0.5644821139681911,-1.1404741334364203
China,Post-Phase 3,#2b83ba,84063.0,4.689231802054169,1.1779904851182261
Ecuador,Post-Phase 3,#2b83ba,39371.0,1.9274095352055032,0.8122905035936208
South Korea,Post-Phase 3,#2b83ba,11142.0,2.6979728541519097,0.06614013118676332
Ghana,Post-Phase 3,#2b83ba,6269.0,1.5510474438337036,1.1211197211174422
Cameroon,Post-Phase 3,#2b83ba,4288.0,1.3275661674641919,0.8774807725157122
Sudan,Post-Phase 3,#2b83ba,3138.0,1.350186446042214,1.4728384134641155
Tajikistan,Post-Phase 3,#2b83ba,2350.0,1.7946379101818744,1.8916975158664209
Djibouti,Post-Phase 3,#2b83ba,2047.0,0.892362319732226,0.7075860532417059
